TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1644531263 87491571 167737757944956 80312833313108
1644531273 87491571 167737757944956 80312833313108
1644531283 87491571 167737757944956 80312833313108
1644531294 87491571 167737757944956 80312833313108
1644531304 87491573 167737757944956 80312833313108
1644531314 87491573 167737757944956 80312833313108
1644531325 87491573 167737757944956 80312833313108
1644531335 87491573 167737757944956 80312833313108
1644531345 87491576 167737757944956 80312833313108
1644531355 87491576 167737757944956 80312833313108
1644531366 87491576 167737757944956 80312833313108
1644531376 87491576 167737757944956 80312833313108
1644531386 87491576 167737757944956 80312833313108
1644531397 87491576 167737757944956 80312833313108
1644531407 87491576 167737757944956 80312833313108
1644531417 87491580 167737757944956 80312833313108
1644531427 87491580 167737757944956 80312833313108
1644531438 87491580 167737757944956 80312833313108
1644531448 87491580 167737757944956 80312833313108
1644531458 87491580 167737757944956 80312833313108
1644531469 87491580 167737757944956 80312833313108
1644531479 87491580 167737757944956 80312833313108
1644531489 87491584 167737757944956 80312833313108
1644531500 87491584 167737757944956 80312833313108
1644531510 87491584 167737757944956 80312833313108
1644531520 87491584 167737757944956 80312833313108
1644531531 87491584 167737757944956 80312833313108
1644531541 87491584 167737757944956 80312833313108
1644531551 87491584 167737757944956 80312833313108
1644531561 87491584 167737757944956 80312833313108
1644531572 87491588 167737757944956 80312833313108
1644531582 87491588 167737757944956 80312833313108
1644531592 87491588 167737757944956 80312833313108
1644531602 87491588 167737757944956 80312833313108
1644531613 87491588 167737757944956 80312833313108
1644531623 87491588 167737757944956 80312833313108
1644531633 87491588 167737757944956 80312833313108
1644531644 87491592 167737757944956 80312833313108
1644531654 87491592 167737757944956 80312833313108
1644531664 87491592 167737757944956 80312833313108
1644531674 87491592 167737757944956 80312833313108
1644531685 87491592 167737757944956 80312833313108
1644531695 87491592 167737757944956 80312833313108
1644531705 87491592 167737757944956 80312833313108
1644531715 87491596 167737757944956 80312833313108
1644531726 87491596 167737757944956 80312833313108
1644531736 87491596 167737757944956 80312833313108
1644531746 87491596 167737757944956 80312833313108
1644531757 87491596 167737757944956 80312833313108
1644531767 87491596 167737757944956 80312833313108
