TIMESTAMP        work2-RQ         work2-RD         work2-WR         
10.000000         96.100000         8.577128          0.000824         
20.000000         111.000000        4.890871          0.001099         
31.000000         9.090909          0.115772          0.000999         
41.000000         5.800000          0.001658          0.001099         
51.000000         71.800000         0.309693          0.001099         
62.000000         636.545454        3.099865          0.051828         
72.000000         2427.600000       0.001933          0.041855         
82.000000         2422.200000       0.001933          0.041618         
92.000000         2469.900000       0.001933          0.043251         
103.000000        2249.545454       0.001757          0.038571         
113.000000        2483.700000       0.001934          0.043234         
123.000000        2448.500000       0.001934          0.042224         
134.000000        2083.090909       0.001758          0.035921         
144.000000        2435.300000       0.001934          0.041957         
154.000000        2509.300000       0.001934          0.044135         
164.000000        2452.700000       0.001934          0.041822         
175.000000        2278.636363       0.001758          0.039353         
185.000000        2481.700000       0.001934          0.043309         
195.000000        2477.700000       0.001934          0.042805         
206.000000        2288.363636       0.001758          0.039415         
216.000000        2463.000000       0.001934          0.042219         
226.000000        2451.200000       0.001934          0.042051         
237.000000        2201.272727       0.001758          0.038006         
247.000000        949.200000        10.655334         0.029895         
257.000000        6.400000          0.002211          0.001377         
268.000000        6.727272          0.002010          0.023667         
278.000000        6.400000          0.002211          0.001376         
288.000000        6.400000          0.002211          0.001376         
298.000000        6.400000          0.002211          0.001376         
309.000000        6.090909          0.002010          0.001251         
319.000000        6.400000          0.002211          0.001376         
329.000000        6.400000          0.002211          0.001376         
339.000000        6.400000          0.002211          0.001376         
350.000000        5.818181          0.002010          0.001251         
360.000000        6.400000          0.002212          0.001376         
370.000000        6.400000          0.002212          0.001376         
381.000000        6.090909          0.002010          0.001251         
391.000000        6.400000          0.002212          0.001376         
401.000000        6.400000          0.002212          0.001376         
411.000000        6.400000          0.002212          0.001376         
422.000000        5.818181          0.002010          0.001251         
432.000000        6.400000          0.002212          0.001376         
442.000000        6.400000          0.002212          0.001376         
452.000000        6.800000          0.002212          0.001376         
463.000000        5.818181          0.002010          0.001251         
473.000000        6.400000          0.002212          0.001376         
483.000000        6.400000          0.002212          0.001376         
494.000000        5.818181          0.002011          0.001251         
504.000000        36.300000         0.028389          0.030603         
514.000000        34.900000         0.028417          0.014485         
525.000000        5.545454          0.001761          0.001126         
535.000000        6.400000          0.001937          0.001239         
545.000000        6.100000          0.001937          0.001239         
556.000000        5.727272          0.001761          0.001126         
566.000000        6.100000          0.001937          0.001239         
576.000000        164.600000        4.777059          0.004013         
586.000000        116.600000        9.234323          0.001240         
597.000000        5.545454          0.001762          0.001127         
607.000000        6.400000          0.001938          0.001239         
617.000000        6.100000          0.001938          0.001240         
628.000000        5.545454          0.001762          0.001127         
638.000000        6.100000          0.001938          0.001240         
