TIMESTAMP        work2-RQ         work2-RD         work2-WR         
1644531263 23176667 88479786274230 677344072852
1644531273 23177628 88479872045516 677344081092
1644531283 23178738 88479920954230 677344092088
1644531294 23178838 88479922227726 677344103085
1644531304 23178896 88479922244306 677344114082
1644531314 23179614 88479925341241 677344125080
1644531325 23186616 88479959439759 677344695191
1644531335 23210892 88479959459097 677345113745
1644531345 23235114 88479959478433 677345529929
1644531355 23259813 88479959497771 677345962439
1644531366 23284558 88479959517107 677346386730
1644531376 23309395 88479959536451 677346819078
1644531386 23333880 88479959555795 677347241321
1644531397 23356794 88479959575139 677347636455
1644531407 23381147 88479959594483 677348056030
1644531417 23406240 88479959613825 677348497386
1644531427 23430767 88479959633171 677348915614
1644531438 23455832 88479959652515 677349348497
1644531448 23480649 88479959671861 677349781590
1644531458 23505426 88479959691205 677350209647
1644531469 23530598 88479959710549 677350643222
1644531479 23555228 88479959729895 677351065419
1644531489 23579740 88479959749241 677351485932
1644531500 23603954 88479959768585 677351903999
1644531510 23613446 88480066321930 677352202953
1644531520 23613510 88480066344042 677352216723
1644531531 23613584 88480066366158 677352477067
1644531541 23613648 88480066388274 677352490833
1644531551 23613712 88480066410390 677352504599
1644531561 23613776 88480066432506 677352518365
1644531572 23613843 88480066454622 677352532132
1644531582 23613907 88480066476740 677352545899
1644531592 23613971 88480066498858 677352559667
1644531602 23614035 88480066520976 677352573434
1644531613 23614099 88480066543096 677352587203
1644531623 23614163 88480066565216 677352600971
1644531633 23614227 88480066587336 677352614740
1644531644 23614294 88480066609456 677352628508
1644531654 23614358 88480066631576 677352642277
1644531664 23614422 88480066653696 677352656046
1644531674 23614486 88480066675816 677352669815
1644531685 23614550 88480066697936 677352683584
1644531695 23614614 88480066720056 677352697353
1644531705 23614678 88480066742176 677352711122
1644531715 23614746 88480066764296 677352724891
1644531726 23614810 88480066786416 677352738660
1644531736 23614874 88480066808536 677352752429
1644531746 23614938 88480066830658 677352766198
1644531757 23615002 88480066852780 677352779968
1644531767 23615365 88480067136676 677353086006
1644531777 23615714 88480067420848 677353230863
1644531788 23615775 88480067440220 677353243258
1644531798 23615839 88480067459592 677353255653
1644531808 23615900 88480067478964 677353268048
1644531819 23615963 88480067498342 677353280444
1644531829 23616024 88480067517714 677353292839
1644531839 23617670 88480115288309 677353332975
1644531849 23618836 88480207631542 677353345375
1644531860 23618897 88480207650924 677353357775
1644531870 23618961 88480207670306 677353370174
1644531880 23619022 88480207689688 677353382574
1644531891 23619083 88480207709070 677353394974
1644531901 23619144 88480207728452 677353407374
1644531911 23619205 88480207747834 677353419774
1644531921 23619266 88480207767216 677353432174
1644531932 23619327 88480207786598 677353444574
1644531942 23619392 88480207805980 677353456974
