time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1644531263        1                 30469             0                 892132223         965020740         0                 9747              79367395735063    23988132721003    0                 2468528          
1644531273        1                 30469             0                 892137133         965025647         0                 9747              79367397376371    23988258720591    0                 2468528          
1644531283        0                 30469             0                 892141136         965029648         0                 9747              79367398860377    23988359000935    0                 2468528          
1644531294        1                 30469             0                 892145239         965033749         0                 9747              79367399924475    23988437191319    0                 2468528          
1644531304        1                 30469             0                 892148571         965037080         0                 9747              79367400781760    23988458155399    0                 2468528          
1644531314        1                 30469             0                 892153787         965042293         0                 9747              79367402396465    23988503920586    0                 2468528          
1644531325        1                 30469             0                 892163318         965051822         0                 9747              79367407514710    23988542018493    0                 2468528          
1644531335        1                 30469             0                 892187630         965076132         0                 9747              79367423070863    23988552754909    0                 2468528          
1644531345        0                 30469             0                 892211976         965100475         0                 9747              79367438156006    23988563483901    0                 2468528          
1644531355        1                 30469             0                 892236709         965125207         0                 9747              79367453520041    23988574407309    0                 2468528          
1644531366        1                 30469             0                 892261487         965149982         0                 9747              79367468906342    23988585349629    0                 2468528          
1644531376        1                 30469             0                 892286361         965174855         0                 9747              79367484357466    23988596334493    0                 2468528          
1644531386        1                 30469             0                 892310883         965199375         0                 9747              79367499590512    23988607164197    0                 2468528          
1644531397        1                 30469             0                 892333827         965222317         0                 9747              79367513844998    23988617296157    0                 2468528          
1644531407        1                 30469             0                 892358194         965246682         0                 9747              79367528986344    23988628052909    0                 2468528          
1644531417        1                 30469             0                 892383448         965271934         0                 9747              79367544630703    23988639184309    0                 2468528          
1644531427        2                 30469             0                 892407977         965296461         0                 9747              79367559452336    23988650022349    0                 2468528          
1644531438        1                 30469             0                 892433052         965321533         0                 9747              79367575120804    23988661099093    0                 2468528          
1644531448        1                 30469             0                 892457915         965346395         0                 9747              79367590857761    23988672080365    0                 2468528          
1644531458        2                 30469             0                 892482715         965371193         0                 9747              79367605836433    23988683034029    0                 2468528          
1644531469        0                 30469             0                 892507901         965396375         0                 9747              79367621573861    23988694160813    0                 2468528          
1644531479        1                 30469             0                 892532557         965421031         0                 9747              79367637400872    23988705049893    0                 2468528          
1644531489        1                 30469             0                 892557197         965445669         0                 9747              79367652664216    23988715910717    0                 2468528          
1644531500        1                 30469             0                 892581450         965469920         0                 9747              79367667725020    23988726620389    0                 2468528          
1644531510        1                 30469             0                 892591330         965479798         0                 9747              79367673940493    23988829927317    0                 2468528          
1644531520        0                 30469             0                 892591435         965479901         0                 9747              79367674017546    23988829961013    0                 2468528          
1644531531        1                 30469             0                 892591550         965480012         0                 9747              79367674349519    23988830001909    0                 2468528          
1644531541        1                 30469             0                 892591643         965480103         0                 9747              79367674427900    23988830034837    0                 2468528          
1644531551        1                 30469             0                 892591736         965480194         0                 9747              79367674508989    23988830067765    0                 2468528          
1644531561        1                 30469             0                 892591832         965480288         0                 9747              79367674584594    23988830100885    0                 2468528          
1644531572        1                 30469             0                 892592030         965480484         0                 9747              79367674686427    23988830156469    0                 2468528          
1644531582        0                 30469             0                 892592135         965480587         0                 9747              79367674767450    23988830190165    0                 2468528          
1644531592        1                 30469             0                 892592228         965480678         0                 9747              79367674847085    23988830223093    0                 2468528          
1644531603        1                 30469             0                 892592321         965480769         0                 9747              79367674925333    23988830256021    0                 2468528          
1644531613        1                 30469             0                 892592414         965480860         0                 9747              79367675002194    23988830288949    0                 2468528          
1644531623        1                 30469             0                 892592510         965480954         0                 9747              79367675081764    23988830322069    0                 2468528          
1644531633        1                 30469             0                 892592603         965481045         0                 9747              79367675164042    23988830354997    0                 2468528          
1644531644        0                 30469             0                 892592804         965481244         0                 9747              79367675266437    23988830409621    0                 2468528          
1644531654        1                 30469             0                 892592897         965481335         0                 9747              79367675341844    23988830442549    0                 2468528          
1644531664        1                 30469             0                 892592990         965481426         0                 9747              79367675419960    23988830475477    0                 2468528          
1644531674        1                 30469             0                 892593083         965481517         0                 9747              79367675496689    23988830508405    0                 2468528          
1644531685        1                 30469             0                 892593179         965481611         0                 9747              79367675576127    23988830541525    0                 2468528          
1644531695        1                 30469             0                 892593272         965481702         0                 9747              79367675658274    23988830574453    0                 2468528          
1644531705        0                 30469             0                 892593377         965481805         0                 9747              79367675730842    23988830608149    0                 2468528          
1644531715        1                 30469             0                 892593567         965481993         0                 9747              79367675827847    23988830662197    0                 2468528          
1644531726        1                 30469             0                 892593660         965482084         0                 9747              79367675901737    23988830695125    0                 2468528          
1644531736        1                 30469             0                 892593756         965482178         0                 9747              79367675978336    23988830728245    0                 2468528          
1644531746        1                 30469             0                 892593849         965482269         0                 9747              79367676053549    23988830761173    0                 2468528          
1644531757        1                 30469             0                 892593942         965482360         0                 9747              79367676127374    23988830794101    0                 2468528          
1644531767        0                 30469             0                 892594359         965482773         0                 9747              79367676522019    23988830958916    0                 2468528          
1644531778        1                 30469             0                 892594745         965483157         0                 9747              79367677074116    23988831110548    0                 2468528          
1644531788        1                 30469             0                 892594835         965483245         0                 9747              79367677148827    23988831142244    0                 2468528          
1644531798        1                 30469             0                 892595024         965483432         0                 9747              79367677247751    23988831195060    0                 2468528          
1644531808        1                 30469             0                 892595114         965483520         0                 9747              79367677323784    23988831226756    0                 2468528          
1644531819        1                 30469             0                 892596099         965484503         0                 9747              79367677619993    23988834417996    0                 2468528          
1644531829        0                 30469             0                 892596190         965484592         0                 9747              79367677701442    23988834449756    0                 2468528          
1644531839        1                 30469             0                 892599608         965488006         0                 9747              79367679336623    23988885743296    0                 2468528          
1644531849        1                 30469             0                 892602007         965490404         0                 9747              79367680470381    23988979060650    0                 2468528          
1644531860        1                 30469             0                 892602100         965490495         0                 9747              79367680547672    23988979092538    0                 2468528          
1644531870        1                 30469             0                 892602281         965490674         0                 9747              79367680643960    23988979144202    0                 2468528          
1644531880        0                 30469             0                 892602383         965490774         0                 9747              79367680722572    23988979176666    0                 2468528          
1644531891        1                 30469             0                 892602473         965490862         0                 9747              79367680803893    23988979208362    0                 2468528          
1644531901        1                 30469             0                 892602563         965490950         0                 9747              79367680883827    23988979240058    0                 2468528          
1644531911        1                 30469             0                 892602653         965491038         0                 9747              79367680966470    23988979271754    0                 2468528          
1644531921        1                 30469             0                 892602746         965491129         0                 9747              79367681039534    23988979303642    0                 2468528          
1644531932        1                 30469             0                 892602836         965491217         0                 9747              79367681111211    23988979335338    0                 2468528          
1644531942        0                 30469             0                 892603035         965491414         0                 9747              79367681207325    23988979388922    0                 2468528          
1644531952        1                 30469             0                 892603125         965491502         0                 9747              79367681280324    23988979420618    0                 2468528          
