TIMESTAMP        home1-RQ         home1-RD         home1-WR         
10.000000         0.000000          0.000000          0.000000         
20.000000         0.000000          0.000000          0.000000         
31.000000         0.000000          0.000000          0.000000         
41.000000         0.000000          0.000000          0.000000         
51.000000         0.000000          0.000000          0.000000         
62.000000         0.000000          0.000000          0.000000         
72.000000         0.000000          0.000000          0.000000         
82.000000         0.200000          0.000000          0.000000         
92.000000         0.000000          0.000000          0.000000         
103.000000        0.000000          0.000000          0.000000         
113.000000        0.000000          0.000000          0.000000         
123.000000        0.000000          0.000000          0.000000         
134.000000        0.000000          0.000000          0.000000         
144.000000        0.000000          0.000000          0.000000         
154.000000        0.200000          0.000000          0.000000         
164.000000        0.000000          0.000000          0.000000         
175.000000        0.000000          0.000000          0.000000         
185.000000        0.000000          0.000000          0.000000         
195.000000        0.000000          0.000000          0.000000         
206.000000        0.000000          0.000000          0.000000         
216.000000        0.000000          0.000000          0.000000         
226.000000        0.200000          0.000000          0.000000         
237.000000        0.000000          0.000000          0.000000         
247.000000        0.000000          0.000000          0.000000         
257.000000        0.000000          0.000000          0.000000         
268.000000        0.000000          0.000000          0.000000         
278.000000        0.000000          0.000000          0.000000         
288.000000        0.000000          0.000000          0.000000         
298.000000        0.000000          0.000000          0.000000         
309.000000        0.181818          0.000000          0.000000         
319.000000        0.000000          0.000000          0.000000         
329.000000        0.000000          0.000000          0.000000         
339.000000        0.000000          0.000000          0.000000         
350.000000        0.000000          0.000000          0.000000         
360.000000        0.000000          0.000000          0.000000         
370.000000        0.000000          0.000000          0.000000         
381.000000        0.181818          0.000000          0.000000         
391.000000        0.000000          0.000000          0.000000         
401.000000        0.000000          0.000000          0.000000         
411.000000        0.000000          0.000000          0.000000         
422.000000        0.000000          0.000000          0.000000         
432.000000        0.000000          0.000000          0.000000         
442.000000        0.000000          0.000000          0.000000         
452.000000        0.200000          0.000000          0.000000         
463.000000        0.000000          0.000000          0.000000         
473.000000        0.000000          0.000000          0.000000         
483.000000        0.000000          0.000000          0.000000         
494.000000        0.000000          0.000000          0.000000         
504.000000        0.000000          0.000000          0.000000         
514.000000        0.000000          0.000000          0.000000         
525.000000        0.000000          0.000000          0.000000         
535.000000        0.200000          0.000000          0.000000         
545.000000        0.000000          0.000000          0.000000         
556.000000        0.000000          0.000000          0.000000         
566.000000        0.000000          0.000000          0.000000         
576.000000        0.000000          0.000000          0.000000         
586.000000        0.000000          0.000000          0.000000         
597.000000        0.000000          0.000000          0.000000         
607.000000        0.200000          0.000000          0.000000         
617.000000        0.000000          0.000000          0.000000         
628.000000        0.000000          0.000000          0.000000         
