#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669072351 638636769 543358110 278035653 13515787 42668736 37902700 53739 1087839 91426.43 93745.15 3679.81 2998.43
1669072361 638636769 543358110 278035653 13515787 42668783 37902750 53739 1087839 91424.91 93743.46 3680.31 3000.03
1669072371 638636769 543358110 278035653 13515787 42668830 37902799 53739 1087839 91424.80 93743.34 3680.88 3001.30
1669072382 638636769 543358110 278035653 13515787 42668877 37902852 53739 1087839 91426.31 93742.20 3679.05 3001.31
1669072392 638636769 543358110 278035653 13515787 42668929 37902899 53739 1087839 91425.19 93741.54 3680.54 3001.09
1669072402 638636769 543358110 278035653 13515787 42668976 37902950 53739 1087839 91425.41 93742.75 3680.77 3001.92
1669072412 638636769 543358110 278035653 13515787 42669024 37903001 53739 1087839 91425.11 93742.36 3681.18 3001.14
1669072423 638636769 543358110 278035653 13515787 42669075 37903050 53739 1087839 91424.68 93742.23 3681.05 3002.40
1669072433 638636769 543358110 278035653 13515787 42669121 37903104 53739 1087839 91424.95 93742.89 3680.23 3000.61
1669072443 638636769 543358110 278035653 13515787 42669177 37903145 53739 1087839 91423.78 93742.71 3681.09 3000.78
1669072453 638636769 543358110 278035653 13515787 42669229 37903193 53739 1087839 91422.63 93742.00 3682.69 3002.04
1669072464 638636769 543358110 278035653 13515787 42669283 37903241 53739 1087839 91422.84 93742.89 3681.89 3001.11
1669072474 638636769 543358110 278035653 13515787 42669333 37903290 53739 1087839 91424.25 93742.80 3682.00 3000.84
1669072484 638636769 543358110 278035653 13515787 42669375 37903347 53739 1087839 91424.36 93742.00 3681.32 3002.11
1669072494 638636769 543358110 278035653 13515787 42669425 37903396 53739 1087839 91424.39 93742.59 3680.80 3001.55
1669072505 638636769 543358110 278035653 13515787 42669474 37903447 53739 1087839 91425.09 93741.35 3681.74 3001.66
1669072515 638636769 543358110 278035653 13515787 42669524 37903499 53739 1087839 91424.48 93742.49 3681.75 3000.62
1669072525 638636769 543358110 278035653 13515787 42669566 37903555 53739 1087839 91424.09 93741.71 3681.84 3001.57
1669072535 638636769 543358110 278035653 13515787 42669617 37903604 53739 1087839 91423.33 93743.47 3682.45 3000.57
1669072546 638636769 543358110 278035653 13515787 42669669 37903652 53739 1087839 91425.57 93742.16 3680.12 3001.96
1669072556 638636769 543358110 278035653 13515787 42669714 37903706 53739 1087839 91424.03 93743.52 3681.78 3000.53
1669072566 638636769 543358110 278035653 13515787 42669764 37903755 53739 1087839 91424.40 93744.34 3680.95 2999.66
1669072577 638636769 543358110 278035653 13515787 42669811 37903808 53739 1087839 91423.34 93743.22 3682.35 3001.41
1669072587 638636769 543358110 278035653 13515787 42669859 37903860 53739 1087839 91424.39 93743.66 3681.29 3000.93
1669072597 638636769 543358110 278035653 13515787 42669906 37903914 53739 1087839 91424.71 93741.77 3681.54 3001.36
1669072607 638636769 543358110 278035653 13515787 42669952 37903965 53739 1087839 91425.41 93742.14 3680.86 3001.47
1669072618 638636769 543358110 278035653 13515787 42669996 37904023 53739 1087839 91425.21 93742.81 3680.52 3001.21
1669072628 638636769 543358110 278035653 13515787 42670046 37904073 53739 1087839 91425.22 93741.57 3680.61 3002.50
1669072638 638636769 543358110 278035653 13515787 42670103 37904117 53739 1087839 91426.15 93742.79 3680.12 3000.71
1669072648 638636769 543358110 278035653 13515787 42670156 37904166 53739 1087839 91424.24 93743.82 3681.56 2999.18
1669072659 638636769 543358110 278035653 13515787 42670207 37904215 53739 1087839 91424.43 93743.46 3681.38 3000.11
1669072669 638636769 543358110 278035653 13515787 42670256 37904265 53739 1087839 91424.09 93743.39 3681.62 3000.18
1669072679 638636769 543358110 278035653 13515787 42670304 37904316 53739 1087839 91426.18 93744.51 3679.55 2999.63
1669072690 638636769 543358110 278035653 13515787 42670349 37904371 53739 1087839 91426.04 93744.76 3678.77 2999.88
1669072700 638636769 543358110 278035653 13515787 42670405 37904415 53739 1087839 91424.52 93744.74 3680.30 2998.75
1669072710 638636769 543358110 278035653 13515787 42670456 37904463 53739 1087839 91424.65 93744.27 3681.67 2999.34
1669072720 638636769 543358110 278035653 13515787 42670512 37904508 53739 1087839 91425.14 93743.07 3679.56 3001.02
1669072731 638636769 543358110 278035653 13515787 42670561 37904560 53739 1087839 91425.59 93744.61 3680.17 2998.80
1669072741 638636769 543358110 278035653 13515787 42670611 37904608 53739 1087839 91425.68 93744.47 3680.01 2998.65
