#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669072351 1069113353 919517650 250030069 3454736 27749853 22896731 30635 977169 91556.18 93950.49 3550.61 2793.00
1669072361 1069113353 919517650 250030069 3454736 27749906 22896780 30635 977169 91556.12 93946.85 3549.08 2795.76
1669072371 1069113353 919517650 250030069 3454736 27749953 22896830 30635 977169 91555.68 93947.55 3550.49 2796.10
1669072382 1069113353 919517650 250030069 3454736 27749997 22896883 30635 977169 91556.90 93946.34 3549.29 2797.30
1669072392 1069113353 919517650 250030069 3454736 27750047 22896934 30635 977169 91555.33 93948.33 3551.02 2794.68
1669072402 1069113353 919517650 250030069 3454736 27750104 22896977 30635 977169 91553.77 93949.14 3552.00 2794.91
1669072412 1069113353 919517650 250030069 3454736 27750165 22897019 30635 977169 91553.85 93949.95 3552.50 2793.55
1669072423 1069113353 919517650 250030069 3454736 27750213 22897068 30635 977169 91554.27 93949.55 3551.45 2793.57
1669072433 1069113353 919517650 250030069 3454736 27750258 22897124 30635 977169 91554.02 93949.44 3552.30 2794.06
1669072443 1069113353 919517650 250030069 3454736 27750309 22897175 30635 977169 91554.41 93950.65 3551.27 2792.98
1669072453 1069113353 919517650 250030069 3454736 27750358 22897226 30635 977169 91554.57 93950.24 3551.27 2793.76
1669072464 1069113353 919517650 250030069 3454736 27750417 22897268 30635 977169 91554.65 93950.67 3551.14 2793.38
1669072474 1069113353 919517650 250030069 3454736 27750477 22897308 30635 977169 91553.98 93950.63 3551.36 2792.43
1669072484 1069113353 919517650 250030069 3454736 27750528 22897358 30635 977169 91555.40 93949.81 3550.28 2794.31
1669072495 1069113353 919517650 250030069 3454736 27750578 22897410 30635 977169 91554.16 93949.13 3552.16 2794.97
1669072505 1069113353 919517650 250030069 3454736 27750635 22897453 30635 977169 91556.11 93948.78 3549.57 2795.33
1669072515 1069113353 919517650 250030069 3454736 27750678 22897510 30635 977169 91555.54 93949.73 3549.66 2794.74
1669072525 1069113353 919517650 250030069 3454736 27750727 22897563 30635 977169 91555.22 93948.52 3551.09 2795.55
1669072536 1069113353 919517650 250030069 3454736 27750780 22897610 30635 977169 91553.93 93949.45 3551.91 2794.05
1669072546 1069113353 919517650 250030069 3454736 27750834 22897655 30635 977169 91555.22 93948.29 3550.61 2795.21
1669072556 1069113353 919517650 250030069 3454736 27750893 22897698 30635 977169 91554.48 93950.32 3551.35 2793.77
1669072567 1069113353 919517650 250030069 3454736 27750953 22897739 30635 977169 91554.66 93950.69 3550.04 2792.96
1669072577 1069113353 919517650 250030069 3454736 27751004 22897791 30635 977169 91555.44 93949.39 3550.74 2795.24
1669072587 1069113353 919517650 250030069 3454736 27751052 22897843 30635 977169 91556.60 93949.31 3550.24 2793.69
1669072597 1069113353 919517650 250030069 3454736 27751100 22897894 30635 977169 91554.91 93949.66 3550.28 2793.46
1669072608 1069113353 919517650 250030069 3454736 27751142 22897952 30635 977169 91555.39 93948.20 3550.29 2795.45
1669072618 1069113353 919517650 250030069 3454736 27751192 22898004 30635 977169 91556.71 93949.09 3548.97 2794.52
1669072628 1069113353 919517650 250030069 3454736 27751243 22898054 30635 977169 91556.96 93949.35 3548.23 2794.79
1669072638 1069113353 919517650 250030069 3454736 27751293 22898104 30635 977169 91556.29 93949.91 3549.02 2794.10
1669072649 1069113353 919517650 250030069 3454736 27751352 22898150 30635 977169 91555.96 93950.21 3549.75 2794.39
1669072659 1069113353 919517650 250030069 3454736 27751400 22898201 30635 977169 91555.71 93949.97 3549.98 2793.66
1669072669 1069113353 919517650 250030069 3454736 27751444 22898257 30635 977169 91557.09 93949.52 3548.59 2795.11
1669072680 1069113353 919517650 250030069 3454736 27751491 22898311 30635 977169 91555.92 93948.23 3550.41 2795.27
1669072690 1069113353 919517650 250030069 3454736 27751546 22898357 30635 977169 91555.88 93948.61 3550.45 2794.40
1669072700 1069113353 919517650 250030069 3454736 27751592 22898410 30635 977169 91555.70 93950.07 3550.60 2794.04
1669072710 1069113353 919517650 250030069 3454736 27751642 22898460 30635 977169 91554.21 93948.20 3551.68 2795.50
1669072721 1069113353 919517650 250030069 3454736 27751697 22898506 30635 977169 91555.57 93950.59 3551.23 2792.90
1669072731 1069113353 919517650 250030069 3454736 27751751 22898554 30635 977169 91554.38 93950.12 3551.41 2793.37
1669072741 1069113353 919517650 250030069 3454736 27751807 22898598 30635 977169 91555.48 93949.02 3550.70 2795.63
1669072752 1069113353 919517650 250030069 3454736 27751856 22898649 30635 977169 91555.57 93947.50 3550.11 2797.09
1669072762 1069113353 919517650 250030069 3454736 27751898 22898709 30635 977169 91555.89 93949.41 3551.40 2794.08
1669072772 1069113353 919517650 250030069 3454736 27751949 22898757 30635 977169 91555.03 93948.46 3551.15 2794.68
1669072782 1069113353 919517650 250030069 3454736 27751994 22898813 30635 977169 91556.04 93947.31 3549.65 2795.82
1669072793 1069113353 919517650 250030069 3454736 27752036 22898870 30635 977169 91557.25 93948.92 3549.02 2794.20
1669072803 1069113353 919517650 250030069 3454736 27752088 22898920 30635 977169 91555.68 93949.59 3549.02 2794.05
1669072813 1069113353 919517650 250030069 3454736 27752136 22898973 30635 977169 91557.14 93949.05 3549.12 2794.55
1669072823 1069113353 919517650 250030069 3454736 27752186 22899023 30635 977169 91555.78 93948.75 3550.56 2794.77
1669072834 1069113353 919517650 250030069 3454736 27752237 22899073 30635 977169 91555.62 93949.36 3551.14 2794.13
1669072844 1069113353 919517650 250030069 3454736 27752290 22899123 30635 977169 91555.61 93950.38 3550.68 2793.61
1669072854 1069113353 919517650 250030069 3454736 27752342 22899172 30635 977169 91553.80 93949.81 3552.01 2793.78
1669072864 1069113353 919517650 250030069 3454736 27752394 22899219 30635 977169 91552.36 93949.52 3553.93 2794.48
1669072875 1069113353 919517650 250030069 3454736 27752445 22899271 30635 977169 91554.00 93948.48 3552.20 2795.66
1669072885 1069113353 919517650 250030069 3454736 27752491 22899324 30635 977169 91555.03 93949.29 3550.77 2793.71
1669072895 1069113353 919517650 250030069 3454736 27752548 22899368 30635 977169 91555.41 93950.91 3550.48 2793.14
1669072906 1069113353 919517650 250030069 3454736 27752599 22899418 30635 977169 91556.32 93950.70 3549.93 2793.33
1669072916 1069113353 919517650 250030069 3454736 27752650 22899466 30635 977169 91554.41 93950.93 3551.41 2792.57
1669072926 1069113353 919517650 250030069 3454736 27752703 22899516 30635 977169 91555.17 93950.48 3550.49 2792.93
1669072936 1069113353 919517650 250030069 3454736 27752754 22899564 30635 977169 91553.16 93950.65 3552.20 2793.39
1669072947 1069113353 919517650 250030069 3454736 27752807 22899614 30635 977169 91553.39 93950.16 3553.44 2793.87
1669072957 1069113353 919517650 250030069 3454736 27752863 22899657 30635 977169 91555.74 93951.26 3550.50 2792.84
1669072967 1069113353 919517650 250030069 3454736 27752913 22899709 30635 977169 91555.86 93949.58 3549.82 2793.52
1669072978 1069113353 919517650 250030069 3454736 27752961 22899761 30635 977169 91556.38 93950.53 3549.38 2793.58
1669072988 1069113353 919517650 250030069 3454736 27753013 22899810 30635 977169 91554.65 93951.73 3551.17 2792.36
1669072998 1069113353 919517650 250030069 3454736 27753063 22899861 30635 977169 91554.36 93950.68 3551.47 2792.82
1669073008 1069113353 919517650 250030069 3454736 27753117 22899908 30635 977169 91554.82 93949.48 3550.87 2794.66
