#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669072349 985709957 810515912 418285513 23509345 13421023 10370855 137233 1686753 92060.95 94321.00 3060.86 2407.47
1669072360 985709957 810515912 418285513 23509345 13421376 10370965 137233 1686753 91773.72 94278.21 3348.78 2449.68
1669072370 985709957 810515912 418285513 23509345 13421535 10371013 137233 1686753 91688.47 94277.73 3432.36 2450.78
1669072380 985710008 810515928 418285513 23509345 13421645 10371072 137233 1686753 91621.25 94278.80 3500.06 2449.07
1669072390 985710008 810515928 418285513 23509345 13421721 10371238 137233 1686753 91599.87 94220.12 3521.54 2507.73
1669072401 985710112 810515946 418285513 23509345 13421780 10371460 137233 1686753 91589.86 94113.60 3532.54 2613.84
1669072411 985710120 810515952 418285513 23509345 13421841 10371531 137233 1686753 91589.20 94110.35 3532.12 2617.01
1669072421 985710129 810515958 418285513 23509345 13421895 10371607 137233 1686753 91588.87 94109.24 3531.59 2619.14
1669072432 985710129 810515958 418285513 23509345 13421956 10371680 137233 1686753 91589.46 94108.16 3531.36 2620.79
1669072442 985710137 810515964 418285513 23509345 13422019 10371748 137233 1686753 91588.71 94108.14 3533.20 2620.24
1669072452 985710137 810515964 418285513 23509345 13422076 10371823 137233 1686753 91588.70 94106.95 3532.71 2621.41
1669072463 985710137 810515964 418285513 23509345 13422136 10371895 137233 1686753 91590.86 94105.63 3529.54 2622.22
1669072473 985710146 810515970 418285513 23509345 13422195 10371966 137233 1686753 91589.33 94107.38 3531.98 2622.23
1669072483 985710146 810515970 418285513 23509345 13422257 10372038 137233 1686753 91590.39 94105.26 3530.44 2622.68
1669072493 985710146 810515970 418285513 23509345 13422321 10372108 137233 1686753 91593.15 94105.61 3528.80 2622.24
1669072504 985710146 810515970 418285513 23509345 13422377 10372185 137233 1686753 91592.75 94105.58 3529.60 2623.39
1669072514 985710146 810515970 418285513 23509345 13422437 10372259 137233 1686753 91591.22 94104.16 3530.10 2623.75
1669072524 985710154 810515976 418285513 23509345 13422499 10372330 137233 1686753 91590.71 94103.87 3530.11 2624.05
1669072535 985710154 810515976 418285513 23509345 13422560 10372401 137233 1686753 91589.09 94104.96 3532.85 2623.43
1669072545 985710154 810515976 418285513 23509345 13422619 10372475 137233 1686753 91589.09 94102.28 3532.87 2624.59
1669072556 985710195 810515986 418285513 23509345 13431966 10383574 137233 1686753 81860.54 82977.18 13274.59 13764.44
1669072566 985711773 810516030 418285513 23509345 13432723 10384647 137233 1686753 91061.09 92797.90 4059.31 3930.55
1669072576 985712966 810516146 418285513 23509345 13433322 10385142 137233 1686753 91176.87 93642.32 3943.96 3086.62
1669072587 985713615 810516198 418285513 23509345 13433862 10385230 137233 1686753 91122.06 93642.73 3999.76 3084.73
1669072597 985714082 810516250 418285513 23509345 13434348 10385319 137233 1686753 91062.73 93644.15 4058.59 3084.89
1669072607 985714125 810516250 418285513 23509345 13434439 10385404 137233 1686753 91002.43 93644.23 4119.49 3083.14
1669072617 985714436 810516282 418285513 23509345 13434655 10385494 137233 1686753 90942.38 93645.42 4178.93 3083.04
1669072628 985714570 810516282 418285513 23509345 13435206 10385584 137233 1686753 90884.13 93647.20 4236.69 3080.21
1669072638 985714796 810516336 418285513 23509345 13435570 10385672 137233 1686753 90825.00 93646.05 4296.32 3082.89
1669072648 985714879 810516362 418285513 23509345 13435654 10385759 137233 1686753 90772.45 93647.20 4348.95 3080.16
1669072659 985714879 810516362 418285513 23509345 13435815 10385844 137233 1686753 90719.28 93644.79 4401.55 3083.62
1669072669 985714969 810516362 418285513 23509345 13436164 10385930 137233 1686753 90668.45 93647.32 4452.87 3082.18
1669072679 985715139 810516362 418285513 23509345 13436820 10386020 137233 1686753 90617.22 93646.92 4503.60 3082.55
1669072689 985715365 810516426 418285513 23509345 13436918 10386111 137233 1686753 90564.25 93646.01 4557.70 3082.43
1669072700 985715365 810516426 418285513 23509345 13437004 10386195 137233 1686753 90509.03 93646.98 4612.29 3081.51
1669072710 985715444 810516448 418285513 23509345 13437175 10386282 137233 1686753 90452.50 93646.07 4668.32 3081.42
1669072720 985715447 810516448 418285513 23509345 13437561 10386369 137233 1686753 90398.79 93645.88 4722.58 3082.05
1669072730 985715447 810516448 418285513 23509345 13438084 10386459 137233 1686753 90344.55 93647.50 4776.77 3081.54
1669072741 985715544 810516448 418285513 23509345 13438156 10386549 137233 1686753 90287.75 93647.46 4834.16 3079.93
