#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1669072351        0.109550          0.109550          0.003044          0.003044          0.000000          180.689000        0.003044         
1669072361        0.109550          0.109550          0.003101          0.003101          0.000000          180.688000        0.003101         
1669072371        0.109550          0.109550          0.003101          0.003101          0.000000          180.689000        0.003101         
1669072381        0.109550          0.109550          0.003101          0.003101          0.000000          180.689000        0.003101         
1669072392        0.109550          0.109550          0.003101          0.003101          0.000000          180.690000        0.003101         
1669072402        0.109550          0.109550          0.003105          0.003105          0.000000          180.692000        0.003105         
1669072412        0.109550          0.109550          0.003105          0.003105          0.000000          180.689000        0.003105         
1669072423        0.109550          0.109550          0.003105          0.003105          0.000000          180.690000        0.003105         
1669072433        0.109550          0.109550          0.003105          0.003105          0.000000          180.690000        0.003105         
1669072443        0.109550          0.109550          0.003105          0.003105          0.000000          180.690000        0.003105         
1669072453        0.109550          0.109550          0.003105          0.003105          0.000000          180.691000        0.003105         
1669072464        0.109550          0.109550          0.003105          0.003105          0.000000          180.691000        0.003105         
1669072474        0.109550          0.109550          0.003105          0.003105          0.000000          180.691000        0.003105         
1669072484        0.109550          0.109550          0.003105          0.003105          0.000000          180.692000        0.003105         
1669072494        0.109550          0.109550          0.003105          0.003105          0.000000          180.691000        0.003105         
1669072505        0.109550          0.109550          0.003105          0.003105          0.000000          180.692000        0.003105         
1669072515        0.109550          0.109550          0.003105          0.003105          0.000000          180.690000        0.003105         
1669072525        0.109550          0.109550          0.003105          0.003105          0.000000          180.691000        0.003105         
1669072536        0.109550          0.109550          0.003105          0.003105          0.000000          180.691000        0.003105         
1669072546        0.109550          0.109550          0.003105          0.003105          0.000000          180.692000        0.003105         
1669072556        0.109550          0.109550          0.003105          0.003105          0.000000          180.692000        0.003105         
1669072566        0.109550          0.109550          0.003105          0.003105          0.000000          180.694000        0.003105         
1669072577        0.109550          0.109550          0.003105          0.003105          0.000000          180.694000        0.003105         
1669072587        0.109550          0.109550          0.003105          0.003105          0.000000          180.693000        0.003105         
1669072597        0.109550          0.109550          0.003105          0.003105          0.000000          180.694000        0.003105         
1669072607        0.109550          0.109550          0.003105          0.003105          0.000000          180.695000        0.003105         
1669072618        0.109550          0.109550          0.003105          0.003105          0.000000          180.694000        0.003105         
1669072628        0.109550          0.109550          0.003105          0.003105          0.000000          180.695000        0.003105         
1669072638        0.109550          0.109550          0.003105          0.003105          0.000000          180.694000        0.003105         
1669072648        0.109550          0.109550          0.003105          0.003105          0.000000          180.693000        0.003105         
1669072659        0.109550          0.109550          0.003105          0.003105          0.000000          180.693000        0.003105         
1669072669        0.109550          0.109550          0.003105          0.003105          0.000000          180.693000        0.003105         
1669072679        0.109550          0.109550          0.003105          0.003105          0.000000          180.692000        0.003105         
1669072690        0.109550          0.109550          0.003105          0.003105          0.000000          180.695000        0.003105         
1669072700        0.109550          0.109550          0.003105          0.003105          0.000000          180.696000        0.003105         
1669072710        0.109550          0.109550          0.003105          0.003105          0.000000          180.696000        0.003105         
