#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1669072349        1.330700          1.330700          0.022549          0.022549          0.078300          182.014000        0.100849         
1669072359        2.728130          2.728130          0.161674          0.161674          0.190100          181.693000        0.351774         
1669072370        4.760910          4.760910          0.206429          0.206429          0.206300          181.610000        0.412729         
1669072380        4.779500          4.779500          0.246216          0.246216          0.206300          181.546000        0.452516         
1669072390        4.817550          4.817550          0.283718          0.283718          0.213000          181.466000        0.496718         
1669072401        7.810570          7.810570          0.437347          0.437347          0.242500          181.352000        0.679847         
1669072411        7.810570          7.810570          0.437428          0.437428          0.242500          181.350000        0.679928         
1669072421        7.810570          7.810570          0.437428          0.437428          0.242500          181.349000        0.679928         
1669072432        7.810570          7.810570          0.437458          0.437458          0.242500          181.348000        0.679958         
1669072442        7.810570          7.810570          0.437458          0.437458          0.242500          181.346000        0.679958         
1669072452        7.810570          7.810570          0.437458          0.437458          0.242500          181.346000        0.679958         
1669072462        7.810570          7.810570          0.437458          0.437458          0.242500          181.345000        0.679958         
1669072473        7.810570          7.810570          0.437508          0.437508          0.242500          181.346000        0.680008         
1669072483        7.810570          7.810570          0.437508          0.437508          0.242500          181.345000        0.680008         
1669072493        7.810570          7.810570          0.437508          0.437508          0.242500          181.346000        0.680008         
1669072504        7.810570          7.810570          0.437515          0.437515          0.242500          181.345000        0.680015         
1669072514        7.810570          7.810570          0.437515          0.437515          0.242500          181.346000        0.680015         
1669072524        7.810570          7.810570          0.437515          0.437515          0.242500          181.344000        0.680015         
1669072535        7.810570          7.810570          0.437515          0.437515          0.242500          181.343000        0.680015         
1669072545        7.810570          7.810570          0.437515          0.437515          0.242500          181.342000        0.680015         
1669072555        321.631000        321.631000        42.838800         42.838800         0.242900          161.127000        43.081700        
1669072566        321.631000        290.201000        42.838800         37.785600         0.243300          179.551000        43.081700        
1669072576        321.631000        24.616300         42.838800         1.232950          0.243600          180.490000        43.081700        
1669072587        321.631000        24.671800         42.838800         1.288140          0.243600          180.437000        43.081700        
1669072597        321.631000        24.729400         42.838800         1.346040          0.243600          180.380000        43.081700        
1669072607        321.631000        24.788700         42.838800         1.405360          0.243600          180.322000        43.081700        
1669072617        321.631000        24.847400         42.838800         1.464040          0.243600          180.264000        43.081700        
1669072628        321.631000        24.904400         42.838800         1.520750          0.243600          180.207000        43.081700        
1669072638        321.631000        24.962500         42.838800         1.579020          0.243600          180.149000        43.081700        
1669072648        321.631000        25.013600         42.838800         1.630170          0.243600          180.097000        43.081700        
1669072658        321.631000        25.065300         42.838800         1.681760          0.243600          180.046000        43.081700        
1669072669        321.631000        25.115900         42.838800         1.732450          0.243600          179.997000        43.081700        
1669072679        321.631000        25.166100         42.838800         1.782440          0.243600          179.946000        43.081700        
