TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch-RQ       scratch-RD       scratch-WR       
1669072349        0                0                 0                0                 0                0                 0                0                 0                
1669072360        0                0                 0                0                 0                0                 0                0                 0                
1669072370        0                0                 0                0                 0                0                 0                0                 0                
1669072380        0                0                 0                0                 0                0                 0                0                 0                
1669072391        0                0                 0                0                 0                0                 0                0                 0                
1669072401        0                0                 0                0                 0                0                 0                0                 0                
1669072411        0                0                 0                0                 0                0                 0                0                 0                
1669072421        0                0                 0                0                 0                0                 0                0                 0                
1669072432        0                0                 0                0                 0                0                 0                0                 0                
1669072442        0                0                 0                0                 0                0                 0                0                 0                
1669072452        0                0                 0                0                 0                0                 0                0                 0                
1669072463        0                0                 0                0                 0                0                 0                0                 0                
1669072473        0                0                 0                0                 0                0                 0                0                 0                
1669072483        0                0                 0                0                 0                0                 0                0                 0                
1669072494        0                0                 0                0                 0                0                 0                0                 0                
1669072504        0                0                 0                0                 0                0                 0                0                 0                
1669072514        0                0                 0                0                 0                0                 0                0                 0                
1669072524        0                0                 0                0                 0                0                 0                0                 0                
1669072535        0                0                 0                0                 0                0                 0                0                 0                
1669072545        0                0                 0                0                 0                0                 0                0                 0                
1669072556        0                0                 0                0                 0                0                 0                0                 0                
1669072566        0                0                 0                0                 0                0                 0                0                 0                
1669072576        0                0                 0                0                 0                0                 0                0                 0                
1669072587        0                0                 0                0                 0                0                 0                0                 0                
1669072597        0                0                 0                0                 0                0                 0                0                 0                
1669072607        0                0                 0                0                 0                0                 0                0                 0                
1669072617        0                0                 0                0                 0                0                 0                0                 0                
1669072628        0                0                 0                0                 0                0                 0                0                 0                
1669072638        0                0                 0                0                 0                0                 0                0                 0                
1669072648        0                0                 0                0                 0                0                 0                0                 0                
1669072659        0                0                 0                0                 0                0                 0                0                 0                
1669072669        0                0                 0                0                 0                0                 0                0                 0                
1669072679        0                0                 0                0                 0                0                 0                0                 0                
1669072689        0                0                 0                0                 0                0                 0                0                 0                
1669072700        0                0                 0                0                 0                0                 0                0                 0                
1669072710        0                0                 0                0                 0                0                 0                0                 0                
1669072720        0                0                 0                0                 0                0                 0                0                 0                
1669072730        0                0                 0                0                 0                0                 0                0                 0                
1669072741        0                0                 0                0                 0                0                 0                0                 0                
1669072751        0                0                 0                0                 0                0                 0                0                 0                
1669072761        0                0                 0                0                 0                0                 0                0                 0                
1669072772        0                0                 0                0                 0                0                 0                0                 0                
1669072782        0                0                 0                0                 0                0                 0                0                 0                
1669072792        0                0                 0                0                 0                0                 0                0                 0                
1669072802        0                0                 0                0                 0                0                 0                0                 0                
1669072813        0                0                 0                0                 0                0                 0                0                 0                
1669072823        0                0                 0                0                 0                0                 0                0                 0                
1669072834        0                0                 0                0                 0                0                 0                0                 0                
1669072844        0                0                 0                0                 0                0                 0                0                 0                
1669072854        0                0                 0                0                 0                0                 0                0                 0                
1669072864        0                0                 0                0                 0                0                 0                0                 0                
