time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1669073193        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073204        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073214        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073224        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073234        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073245        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073255        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073265        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073275        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073286        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073296        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073306        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073317        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073327        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073337        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073347        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073358        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073368        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073378        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073388        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073399        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073409        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073419        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073430        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073440        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073450        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073460        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073471        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073481        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073491        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073501        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073512        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073522        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073532        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073543        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073553        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073563        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073573        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073584        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073594        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073604        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073615        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073625        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073635        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073645        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073656        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073666        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073676        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073687        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073697        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073707        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073717        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073728        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073738        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073748        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073758        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073769        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073779        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073789        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073800        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073810        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073820        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073830        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073841        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073851        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073861        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073872        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073882        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073892        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073902        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073913        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073923        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073933        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073944        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073954        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073964        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073974        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073985        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669073995        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074005        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074016        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074026        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074036        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074046        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074057        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074067        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074077        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074087        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074098        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074108        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074118        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074129        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074139        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074149        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074159        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074170        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074180        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074190        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074201        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074211        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074221        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074231        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074242        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074252        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074262        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074273        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074283        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074293        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074303        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669074314        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
