TIMESTAMP        work2-RQ         work2-RD         work2-WR         
1669072351 0 0 0
1669072361 0 0 0
1669072371 0 0 0
1669072382 0 0 0
1669072392 0 0 0
1669072402 0 0 0
1669072412 0 0 0
1669072423 0 0 0
1669072433 0 0 0
1669072443 0 0 0
1669072453 0 0 0
1669072464 0 0 0
1669072474 0 0 0
1669072484 0 0 0
1669072494 0 0 0
1669072505 0 0 0
1669072515 0 0 0
1669072525 0 0 0
1669072536 0 0 0
1669072546 0 0 0
1669072556 0 0 0
1669072566 0 0 0
1669072577 0 0 0
1669072587 0 0 0
1669072597 0 0 0
1669072607 0 0 0
1669072618 0 0 0
1669072628 0 0 0
1669072638 0 0 0
1669072648 0 0 0
1669072659 0 0 0
1669072669 0 0 0
1669072679 0 0 0
1669072690 0 0 0
1669072700 0 0 0
1669072710 0 0 0
1669072720 0 0 0
1669072731 0 0 0
1669072741 0 0 0
1669072751 0 0 0
1669072761 0 0 0
1669072772 0 0 0
1669072782 0 0 0
1669072792 0 0 0
1669072802 0 0 0
1669072813 0 0 0
1669072823 0 0 0
1669072833 0 0 0
1669072844 0 0 0
1669072854 0 0 0
1669072864 0 0 0
1669072874 0 0 0
1669072885 0 0 0
1669072895 0 0 0
1669072905 0 0 0
1669072915 0 0 0
1669072926 0 0 0
1669072936 0 0 0
1669072946 0 0 0
1669072957 0 0 0
1669072967 0 0 0
1669072977 0 0 0
1669072987 0 0 0
1669072998 0 0 0
1669073008 0 0 0
1669073018 0 0 0
1669073029 0 0 0
1669073039 0 0 0
1669073049 0 0 0
1669073059 0 0 0
1669073070 0 0 0
1669073080 0 0 0
1669073090 0 0 0
1669073100 0 0 0
1669073111 0 0 0
1669073121 0 0 0
1669073131 0 0 0
1669073141 0 0 0
1669073152 0 0 0
1669073162 0 0 0
1669073172 0 0 0
1669073183 0 0 0
1669073193 0 0 0
1669073203 0 0 0
1669073213 0 0 0
1669073224 0 0 0
1669073234 0 0 0
1669073244 0 0 0
1669073254 0 0 0
1669073265 0 0 0
1669073275 0 0 0
1669073285 0 0 0
1669073296 0 0 0
1669073306 0 0 0
1669073316 0 0 0
1669073326 0 0 0
1669073337 0 0 0
1669073347 0 0 0
1669073357 0 0 0
1669073367 0 0 0
1669073378 0 0 0
1669073388 0 0 0
1669073398 0 0 0
1669073408 0 0 0
1669073419 0 0 0
1669073429 0 0 0
1669073439 0 0 0
1669073450 0 0 0
1669073460 0 0 0
1669073470 0 0 0
1669073480 0 0 0
1669073491 0 0 0
1669073501 0 0 0
1669073511 0 0 0
1669073521 0 0 0
1669073532 0 0 0
1669073542 0 0 0
1669073552 0 0 0
1669073563 0 0 0
1669073573 0 0 0
1669073583 0 0 0
1669073593 0 0 0
1669073604 0 0 0
1669073614 0 0 0
1669073624 0 0 0
1669073634 0 0 0
1669073645 0 0 0
1669073655 0 0 0
1669073665 0 0 0
1669073676 0 0 0
1669073686 0 0 0
1669073696 0 0 0
1669073706 0 0 0
1669073717 0 0 0
1669073727 0 0 0
1669073737 0 0 0
1669073747 0 0 0
1669073758 0 0 0
1669073768 0 0 0
1669073778 0 0 0
1669073789 0 0 0
1669073799 0 0 0
1669073809 0 0 0
1669073819 0 0 0
1669073830 0 0 0
1669073840 0 0 0
1669073850 0 0 0
1669073860 0 0 0
1669073871 0 0 0
1669073881 0 0 0
1669073891 0 0 0
1669073902 0 0 0
1669073912 0 0 0
1669073922 0 0 0
1669073932 0 0 0
1669073943 0 0 0
1669073953 0 0 0
1669073963 0 0 0
1669073973 0 0 0
1669073984 0 0 0
1669073994 0 0 0
1669074004 0 0 0
1669074015 0 0 0
1669074025 0 0 0
1669074035 0 0 0
1669074045 0 0 0
1669074056 0 0 0
1669074066 0 0 0
1669074076 0 0 0
1669074086 0 0 0
1669074097 0 0 0
1669074107 0 0 0
1669074117 0 0 0
1669074127 0 0 0
1669074138 0 0 0
1669074148 0 0 0
1669074158 0 0 0
1669074169 0 0 0
1669074179 0 0 0
1669074189 0 0 0
1669074199 0 0 0
1669074210 0 0 0
1669074220 0 0 0
1669074230 0 0 0
1669074241 0 0 0
1669074251 0 0 0
1669074261 0 0 0
1669074271 0 0 0
1669074282 0 0 0
1669074292 0 0 0
1669074302 0 0 0
1669074312 0 0 0
