#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1644531263 8352300423 6803464384 3431752714 1247404173 583949791 468377357 4968568 13469838 92396.63 93747.26 4501.40 4555.83
1644531273 8352300423 6803464384 3431752714 1247404173 583950411 468377664 4968568 13469838 92396.70 93524.04 4500.94 4779.64
1644531283 8352300423 6803464384 3431752714 1247404173 583951146 468377807 4968568 13469838 92299.44 93439.48 4599.45 4864.03
1644531294 8352300472 6803464398 3431752714 1247404173 583951845 468377857 4968568 13469838 92200.59 93441.24 4696.91 4862.88
1644531304 8352300472 6803464398 3431752714 1247404173 583952478 468377918 4968568 13469838 92175.17 93445.12 4722.81 4859.47
1644531314 8352300472 6803464398 3431752714 1247404173 583953166 468378006 4968568 13469838 92112.08 93413.88 4786.51 4890.12
1644531325 8352300472 6803464398 3431752714 1247404173 583953813 468378238 4968568 13469838 92072.29 93302.84 4825.18 5001.21
1644531335 8352300591 6803464440 3431752714 1247404173 583954419 468378295 4968568 13469838 92073.46 93301.38 4823.01 5002.65
1644531345 8352300603 6803464448 3431752714 1247404173 583955043 468378343 4968568 13469838 92073.52 93299.09 4823.56 5005.40
1644531355 8352300611 6803464454 3431752714 1247404173 583955669 468378386 4968568 13469838 92070.86 93297.87 4826.68 5006.65
1644531366 8352300617 6803464458 3431752714 1247404173 583956291 468378427 4968568 13469838 92067.41 93298.01 4829.67 5005.50
1644531376 8352300617 6803464458 3431752714 1247404173 583956916 468378469 4968568 13469838 92072.87 93302.92 4825.70 5000.59
1644531386 8352300617 6803464458 3431752714 1247404173 583957553 468378509 4968568 13469838 92071.27 93301.13 4825.87 5002.87
1644531397 8352300623 6803464462 3431752714 1247404173 583958181 468378551 4968568 13469838 92069.68 93300.79 4827.89 5002.75
1644531407 8352300623 6803464462 3431752714 1247404173 583958807 468378593 4968568 13469838 92069.33 93299.40 4827.22 5004.11
1644531417 8352300623 6803464462 3431752714 1247404173 583959424 468378639 4968568 13469838 92071.63 93298.79 4826.94 5004.72
1644531427 8352300623 6803464462 3431752714 1247404173 583960055 468378678 4968568 13469838 92068.30 93298.28 4829.29 5005.72
