#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1644531263        0.783195          0.783195          0.018230          0.018230          0.077700          181.785000        0.095930         
1644531273        1.041020          1.041020          0.065472          0.065472          0.153800          181.565000        0.219272         
1644531283        3.081290          3.081290          0.174591          0.174591          0.205100          181.387000        0.379691         
1644531294        4.760340          4.760340          0.197250          0.197250          0.206300          181.293000        0.403550         
1644531304        4.769310          4.769310          0.228630          0.228630          0.206300          181.272000        0.434930         
1644531314        4.810680          4.810680          0.277050          0.277050          0.209400          181.176000        0.486450         
1644531324        7.810410          7.810410          0.439552          0.439552          0.242600          181.032000        0.682152         
1644531335        7.810410          7.810410          0.439568          0.439568          0.242600          181.029000        0.682168         
1644531345        7.810410          7.810410          0.439568          0.439568          0.242600          181.028000        0.682168         
1644531355        7.810410          7.810410          0.441422          0.441422          0.242600          181.024000        0.684022         
1644531366        7.810410          7.810410          0.441452          0.441452          0.242600          181.023000        0.684052         
1644531376        7.810410          7.810410          0.441452          0.441452          0.242600          181.032000        0.684052         
1644531386        7.810410          7.810410          0.441456          0.441456          0.242600          181.029000        0.684056         
1644531396        7.810410          7.810410          0.441456          0.441456          0.242600          181.026000        0.684056         
1644531407        7.810410          7.810410          0.441456          0.441456          0.242600          181.026000        0.684056         
1644531417        7.810410          7.810410          0.441456          0.441456          0.242600          181.024000        0.684056         
1644531427        7.810410          7.810410          0.441456          0.441456          0.242600          181.021000        0.684056         
1644531438        7.810410          7.810410          0.441456          0.441456          0.242600          181.020000        0.684056         
1644531448        7.810410          7.810410          0.441456          0.441456          0.242600          181.019000        0.684056         
1644531458        7.810410          7.810410          0.441456          0.441456          0.242600          181.016000        0.684056         
1644531468        7.810410          7.810410          0.441456          0.441456          0.242600          181.021000        0.684056         
1644531479        7.810410          7.810410          0.441456          0.441456          0.242600          181.018000        0.684056         
1644531489        7.810410          7.810410          0.441460          0.441460          0.242600          181.015000        0.684060         
1644531499        7.810410          7.810410          0.441460          0.441460          0.242600          181.016000        0.684060         
1644531510        313.064000        313.064000        33.924500         33.924500         0.243000          164.008000        34.167500        
1644531520        313.064000        24.229400         33.924500         1.023380          0.243300          180.587000        34.167500        
1644531530        313.064000        24.251600         33.924500         1.053910          0.243700          180.354000        34.167500        
1644531541        313.064000        24.309700         33.924500         1.111710          0.243700          180.293000        34.167500        
1644531551        313.064000        24.367300         33.924500         1.169420          0.243700          180.234000        34.167500        
1644531561        313.064000        24.418500         33.924500         1.220730          0.243700          180.185000        34.167500        
1644531572        313.064000        24.469000         33.924500         1.271170          0.243700          180.134000        34.167500        
1644531582        313.064000        24.522100         33.924500         1.324290          0.243700          180.079000        34.167500        
1644531592        313.064000        24.576100         33.924500         1.378150          0.243700          180.027000        34.167500        
1644531602        313.064000        24.631000         33.924500         1.433250          0.243700          179.999000        34.167500        
1644531613        313.064000        24.685800         33.924500         1.488000          0.243700          179.941000        34.167500        
1644531623        313.064000        24.741200         33.924500         1.543230          0.243700          179.887000        34.167500        
1644531633        313.064000        24.795600         33.924500         1.597680          0.243700          179.830000        34.167500        
1644531643        313.064000        24.851300         33.924500         1.653260          0.243700          179.770000        34.167500        
1644531654        313.064000        24.905900         33.924500         1.708170          0.243700          179.716000        34.167500        
1644531664        313.064000        24.959300         33.924500         1.761290          0.243700          179.664000        34.167500        
